  5.3087e+01  1.2625e-04
  5.9846e+01  7.1145e-05
  6.7464e+01  3.9936e-05
  7.6053e+01  2.2262e-05
  8.5734e+01  1.2275e-05
  9.6649e+01  6.7428e-06
  1.0895e+02  3.6331e-06
  1.2282e+02  1.9018e-06
  1.3846e+02  9.9315e-07
  1.5609e+02  5.1361e-07
  1.7596e+02  2.5944e-07
  1.9836e+02  1.3287e-07
  2.2361e+02  6.3938e-08
  2.5207e+02  3.2083e-08
  2.8416e+02  1.4864e-08
  3.2034e+02  7.1110e-09
  3.6112e+02  3.1648e-09
  4.0709e+02  1.4532e-09
  4.5891e+02  6.1301e-10
  5.1734e+02  2.5095e-10
  5.8320e+02  9.7888e-11
  6.5744e+02  3.6660e-11
  7.4113e+02  1.3619e-11
  8.3548e+02  4.2412e-12
  9.4184e+02  1.4503e-12
