  5.3087e+01  9.4053e+01  1.8508e+02
  5.9846e+01  5.3142e+01  9.9145e+01
  6.7464e+01  2.9863e+01  5.2638e+01
  7.6053e+01  1.6562e+01  2.7639e+01
  8.5734e+01  9.1119e+00  1.4350e+01
  9.6649e+01  4.9915e+00  7.3448e+00
  1.0895e+02  2.6865e+00  3.7181e+00
  1.2282e+02  1.4279e+00  1.8551e+00
  1.3846e+02  7.5119e-01  9.1692e-01
  1.5609e+02  3.8746e-01  4.4469e-01
  1.7596e+02  1.9863e-01  2.1091e-01
  1.9836e+02  1.0044e-01  9.9595e-02
  2.2361e+02  4.9559e-02  4.5898e-02
  2.5207e+02  2.4197e-02  2.0836e-02
  2.8416e+02  1.1553e-02  9.0864e-03
  3.2034e+02  5.4339e-03  3.9531e-03
  3.6112e+02  2.4947e-03  1.6545e-03
  4.0709e+02  1.1067e-03  6.7026e-04
  4.5891e+02  4.8023e-04  2.5901e-04
  5.1734e+02  2.0073e-04  9.5252e-05
  5.8320e+02  7.9613e-05  3.3853e-05
  6.5744e+02  3.0008e-05  1.0906e-05
  7.4113e+02  1.0669e-05  3.2872e-06
  8.3548e+02  3.4192e-06  9.0859e-07
  9.4184e+02  9.7899e-07  2.1680e-07
