  5.3087e+01  3.3240e-04
  5.9846e+01  1.7853e-04
  6.7464e+01  9.1759e-05
  7.6053e+01  4.9065e-05
  8.5734e+01  2.5104e-05
  9.6649e+01  1.2738e-05
  1.0895e+02  6.4108e-06
  1.2282e+02  3.1698e-06
  1.3846e+02  1.5354e-06
  1.5609e+02  7.4257e-07
  1.7596e+02  3.5083e-07
  1.9836e+02  1.6389e-07
  2.2361e+02  7.5034e-08
  2.5207e+02  3.4590e-08
  2.8416e+02  1.4551e-08
  3.2034e+02  6.2391e-09
  3.6112e+02  2.6750e-09
  4.0709e+02  1.0555e-09
  4.5891e+02  4.1835e-10
  5.1734e+02  1.5196e-10
  5.8320e+02  5.4951e-11
  6.5744e+02  1.6994e-11
  7.4113e+02  5.5756e-12
  8.3548e+02  1.3690e-12
  9.4184e+02  3.8798e-13
