  5.3087e+01  9.7882e+01  2.0254e+02
  5.9846e+01  5.5869e+01  1.0906e+02
  6.7464e+01  3.1252e+01  5.7957e+01
  7.6053e+01  1.7545e+01  3.0533e+01
  8.5734e+01  9.6513e+00  1.5849e+01
  9.6649e+01  5.2797e+00  8.1051e+00
  1.0895e+02  2.8517e+00  4.1049e+00
  1.2282e+02  1.5181e+00  2.0511e+00
  1.3846e+02  7.9353e-01  1.0050e+00
  1.5609e+02  4.1163e-01  4.8359e-01
  1.7596e+02  2.0965e-01  2.2984e-01
  1.9836e+02  1.0484e-01  1.0745e-01
  2.2361e+02  5.1758e-02  4.9033e-02
  2.5207e+02  2.5055e-02  2.1891e-02
  2.8416e+02  1.1857e-02  9.5752e-03
  3.2034e+02  5.4501e-03  4.0484e-03
  3.6112e+02  2.4849e-03  1.6588e-03
  4.0709e+02  1.0919e-03  6.5865e-04
  4.5891e+02  4.6136e-04  2.4775e-04
  5.1734e+02  1.8855e-04  9.0484e-05
  5.8320e+02  7.3949e-05  3.0812e-05
  6.5744e+02  2.7188e-05  9.8023e-06
  7.4113e+02  9.2955e-06  2.8076e-06
  8.3548e+02  2.8874e-06  7.5328e-07
  9.4184e+02  8.1888e-07  1.8816e-07
