  5.3087e+01  3.0728e+02
  5.9846e+01  1.6851e+02
  6.7464e+01  9.1080e+01
  7.6053e+01  4.9021e+01
  8.5734e+01  2.5984e+01
  9.6649e+01  1.3619e+01
  1.0895e+02  7.0741e+00
  1.2282e+02  3.6238e+00
  1.3846e+02  1.8260e+00
  1.5609e+02  9.0789e-01
  1.7596e+02  4.4537e-01
  1.9836e+02  2.1489e-01
  2.2361e+02  1.0198e-01
  2.5207e+02  4.7454e-02
  2.8416e+02  2.1640e-02
  3.2034e+02  9.5885e-03
  3.6112e+02  4.1773e-03
  4.0709e+02  1.7643e-03
  4.5891e+02  7.1428e-04
  5.1734e+02  2.8070e-04
  5.8320e+02  1.0532e-04
  6.5744e+02  3.7140e-05
  7.4113e+02  1.2154e-05
  8.3548e+02  3.6489e-06
  9.4184e+02  1.0103e-06
