  5.3087e+01  2.8541e+02
  5.9846e+01  1.5552e+02
  6.7464e+01  8.4138e+01
  7.6053e+01  4.5045e+01
  8.5734e+01  2.3895e+01
  9.6649e+01  1.2553e+01
  1.0895e+02  6.5079e+00
  1.2282e+02  3.3339e+00
  1.3846e+02  1.6923e+00
  1.5609e+02  8.4371e-01
  1.7596e+02  4.1500e-01
  1.9836e+02  2.0257e-01
  2.2361e+02  9.6608e-02
  2.5207e+02  4.5529e-02
  2.8416e+02  2.0844e-02
  3.2034e+02  9.4763e-03
  3.6112e+02  4.1850e-03
  4.0709e+02  1.7910e-03
  4.5891e+02  7.4434e-04
  5.1734e+02  2.9780e-04
  5.8320e+02  1.1411e-04
  6.5744e+02  4.1128e-05
  7.4113e+02  1.4017e-05
  8.3548e+02  4.3418e-06
  9.4184e+02  1.1995e-06
