  5.2963e+01  2.8895e+01  4.8876e+01
  5.9425e+01  1.6405e+01  2.5856e+01
  6.6676e+01  9.1645e+00  1.3550e+01
  7.4812e+01  5.0831e+00  6.9826e+00
  8.3940e+01  2.7779e+00  3.5524e+00
  9.4182e+01  1.5114e+00  1.7948e+00
  1.0567e+02  8.0478e-01  8.8331e-01
  1.1857e+02  4.2253e-01  4.2519e-01
  1.3304e+02  2.1801e-01  2.0341e-01
  1.4927e+02  1.1068e-01  9.3759e-02
  1.6748e+02  5.4638e-02  4.2672e-02
  1.8792e+02  2.6600e-02  1.8862e-02
  2.1085e+02  1.2525e-02  8.1137e-03
  2.3658e+02  5.6862e-03  3.3479e-03
  2.6544e+02  2.5285e-03  1.3307e-03
  2.9783e+02  1.0843e-03  5.1945e-04
  3.3417e+02  4.3488e-04  1.8404e-04
  3.7495e+02  1.7057e-04  6.2386e-05
  4.2070e+02  6.0854e-05  1.8785e-05
  4.7203e+02  2.0618e-05  5.4397e-06
