	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
ω	57.75	21.38	25.54	94.15	0.13	0.09	22089.96	18854.18	
σ1	1.58	0.51	0.57	2.32	0.0	0.0	21895.94	14456.22	
σ2	2.04	0.09	1.88	2.2	0.0	0.0	67250.1	56094.86	
δ	0.41	0.09	0.26	0.59	0.0	0.0	78926.6	35023.69	
