	RAA_pT	RAA_pTbins	RAA_y	RAA_y_err
0	56.5	6.5	0.472	0.0581614327196296
1	71.0	8.0	0.491	0.08617015028419063
2	89.5	10.5	0.453	0.06771403027438258
3	112.5	12.5	0.478	0.05652943679181671
4	141.5	16.5	0.511	0.059706146182784234
5	178.5	20.5	0.565	0.06865156880945984
6	225.0	26.0	0.598	0.07981900064520978
7	283.5	32.5	0.595	0.09500642820356947
8	357.0	41.0	0.563	0.13787409063344713
