	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
μ1	1.87	1.03	0.03	3.43	0.01	0.01	14867.17	17291.53	
μ2	4.21	1.58	1.99	7.48	0.01	0.01	12896.72	11719.49	
σ1	3.0	1.96	0.0	6.46	0.01	0.01	14440.29	10469.18	
σ2	3.18	2.17	0.0	7.13	0.02	0.01	16415.66	12145.48	
