	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
α	4.4	2.9	0.43	9.29	0.02	0.01	20419.54	18200.46	
β	2.43	1.34	0.87	5.41	0.01	0.01	22686.05	17174.27	
γ	0.19	0.07	0.03	0.31	0.0	0.0	21591.82	14724.55	
